duration loss = 0.749 | prior loss = 3.385 | diffusion loss =0.188 | Total loss = 4.321999999999999
duration loss = 0.632 | prior loss = 1.532 | diffusion loss =0.14 | Total loss = 2.3040000000000003
duration loss = 0.548 | prior loss = 1.453 | diffusion loss =0.138 | Total loss = 2.1390000000000002
duration loss = 0.516 | prior loss = 1.428 | diffusion loss =0.131 | Total loss = 2.075
duration loss = 0.501 | prior loss = 1.416 | diffusion loss =0.126 | Total loss = 2.0429999999999997
duration loss = 0.488 | prior loss = 1.406 | diffusion loss =0.126 | Total loss = 2.02
duration loss = 0.48 | prior loss = 1.398 | diffusion loss =0.127 | Total loss = 2.005
duration loss = 0.474 | prior loss = 1.393 | diffusion loss =0.124 | Total loss = 1.991
duration loss = 0.469 | prior loss = 1.388 | diffusion loss =0.123 | Total loss = 1.9799999999999998
duration loss = 0.466 | prior loss = 1.386 | diffusion loss =0.123 | Total loss = 1.9749999999999999
duration loss = 0.461 | prior loss = 1.381 | diffusion loss =0.122 | Total loss = 1.964
duration loss = 0.458 | prior loss = 1.377 | diffusion loss =0.126 | Total loss = 1.9609999999999999
duration loss = 0.455 | prior loss = 1.375 | diffusion loss =0.125 | Total loss = 1.955
duration loss = 0.453 | prior loss = 1.372 | diffusion loss =0.125 | Total loss = 1.9500000000000002
duration loss = 0.449 | prior loss = 1.369 | diffusion loss =0.125 | Total loss = 1.943
duration loss = 0.445 | prior loss = 1.367 | diffusion loss =0.121 | Total loss = 1.933
duration loss = 0.443 | prior loss = 1.364 | diffusion loss =0.122 | Total loss = 1.9290000000000003
duration loss = 0.441 | prior loss = 1.363 | diffusion loss =0.12 | Total loss = 1.924
duration loss = 0.439 | prior loss = 1.361 | diffusion loss =0.119 | Total loss = 1.919
duration loss = 0.437 | prior loss = 1.359 | diffusion loss =0.12 | Total loss = 1.916
duration loss = 0.435 | prior loss = 1.357 | diffusion loss =0.12 | Total loss = 1.912
duration loss = 0.433 | prior loss = 1.355 | diffusion loss =0.121 | Total loss = 1.909
duration loss = 0.432 | prior loss = 1.353 | diffusion loss =0.122 | Total loss = 1.907
duration loss = 0.432 | prior loss = 1.353 | diffusion loss =0.119 | Total loss = 1.904
duration loss = 0.431 | prior loss = 1.352 | diffusion loss =0.12 | Total loss = 1.903
